item,role,observed_delta_hat,ppc_low_90,ppc_high_90,ppc_median
Conservatives,pool,-5.572202273222333,-7.146912713474829,4.6487873571984775,-0.9454449521323952
Christians,target,-3.2968378918227694,-6.4197268643155665,5.285887209095841,-0.396128608772107
Democratic Party,party_sensitivity,-2.3507068010918353,-6.0873429560328445,5.445650065517881,-0.24525571682226355
Republican Party,party_sensitivity,-0.9067189167695471,-5.309821383684453,5.073317839648119,0.05238105207726573
White Americans,pool,0.6545807033109896,-4.726940644324463,5.646496881987527,0.44706824527168487
Liberals,pool,1.2769102473311902,-4.600030089415627,5.916184654610647,0.5884138302259796
Asian Americans,pool,1.2989214034049064,-4.418115750004696,5.462176956975638,0.5820146112388082
Gays and Lesbians,contrast,1.9134278864417085,-5.73827167591754,7.080363511889545,0.5537494223564886
Jews,pool,2.2488758247519924,-4.31056543293238,6.168306192846576,0.7775233702636948
Black Americans,pool,3.309322301548149,-4.062893344938769,6.443954573717569,1.0451492863638403
Muslims,pool,4.506070110532836,-4.542763890324469,7.38164732491592,1.2934266980774796
