rep,mu_mean,mu_sd,mu_low,mu_high,sigma_delta_mean,sigma_delta_sd,sigma_delta_low,sigma_delta_high
1,1.9413,1.5736,-1.2,4.9,4.1748,1.6172,1.5,7.9
2,0.7627,1.2521,-1.7,3.2,2.6353,1.4959,0.25,6.05
3,0.5225,1.017,-1.5,2.5,1.5584,1.175,0.1,4.4
4,-2.2768,1.444,-5.1,0.7,3.4809,1.5268,0.85,7.0
5,-1.2492,1.0269,-3.3,0.7025,1.55,1.1443,0.1,4.4
6,0.3672,1.1726,-2.0,2.7,2.401,1.3948,0.2,5.45
7,0.9411,1.0845,-1.1,3.1,1.7761,1.2523,0.1,4.8012
8,-0.2087,1.0331,-2.3,1.8,1.5541,1.1452,0.1,4.25
9,2.2663,1.7815,-1.4,5.7,5.1019,1.6213,2.55,8.9
10,-0.8919,0.9961,-2.8,1.1,1.3006,0.9963,0.05,3.65
11,0.3176,1.067,-1.8,2.4,1.6154,1.2092,0.1,4.45
12,-0.4174,0.9859,-2.3,1.6,1.3285,0.9991,0.1,3.75
13,-1.9562,0.9794,-3.9,-0.1,1.4105,1.0481,0.1,4.05
14,0.2668,1.4048,-2.6,3.0,3.4152,1.5418,0.75,6.9
15,-0.3251,1.5964,-3.5,2.9,4.174,1.6924,1.25,7.95
16,-0.7927,1.0333,-2.8,1.3,1.5334,1.1143,0.1,4.1012
17,1.8322,1.0881,-0.3,4.0,1.9785,1.2719,0.1,4.95
18,0.7863,1.525,-2.3,3.9,4.0666,1.6503,1.2988,7.8
19,-1.7644,1.0177,-3.7,0.2,1.5538,1.1469,0.1,4.35
20,-1.193,1.0829,-3.4,1.0,1.8801,1.2976,0.1,4.95
21,1.3319,1.209,-1.2,3.7,2.5417,1.4359,0.2,5.7
22,-1.8277,1.1194,-4.1,0.3,1.9559,1.2901,0.1,4.9
23,-1.0514,0.9492,-2.9,0.8,1.0708,0.8455,0.05,3.15
24,-2.9342,1.111,-5.1,-0.7,1.9407,1.294,0.1,4.85
25,-1.3365,0.9662,-3.2,0.6,1.2629,0.9653,0.05,3.55
26,-0.6149,1.0343,-2.6,1.5,1.5513,1.1198,0.1,4.15
27,-0.7055,1.3628,-3.5,2.0,3.205,1.5725,0.4,6.7
28,0.1551,1.235,-2.3,2.6,2.6539,1.5171,0.25,6.15
29,-0.2286,0.9787,-2.2,1.7,1.4387,1.1,0.1,4.15
30,-2.9686,0.9644,-4.8,-1.1,1.0899,0.8849,0.05,3.25
31,1.4834,1.5453,-1.6,4.5,4.2076,1.5384,1.75,7.8012
32,-2.1051,1.0422,-4.1,0.0,1.4603,1.096,0.1,4.1
33,-1.3089,1.5596,-4.4,1.8,4.0334,1.6934,1.15,7.8
34,0.2369,1.3501,-2.4,3.0,3.0848,1.5583,0.4,6.55
35,-2.2047,1.0545,-4.2,-0.2,1.5417,1.1419,0.1,4.25
36,0.7032,1.5997,-2.5,3.9,4.3462,1.6637,1.45,8.1
37,1.3432,1.0395,-0.7,3.4,1.6252,1.1804,0.1,4.4512
38,0.7991,1.5943,-2.4,4.0,4.3969,1.5732,1.9,8.15
39,3.8647,1.5784,0.7,7.0025,4.3523,1.6748,1.5,8.1
40,0.816,1.2613,-1.7,3.3,2.666,1.5143,0.2488,6.1012
41,0.9169,1.4122,-1.9,3.7,3.0682,1.6394,0.3,6.75
42,-0.8523,1.3409,-3.5,1.8,3.2134,1.5223,0.55,6.5512
43,1.3177,1.5479,-1.9,4.4,4.2138,1.5883,1.5,7.95
44,-2.4907,0.917,-4.3,-0.7,1.0238,0.7969,0.05,3.0
45,-3.634,1.562,-6.7,-0.5,3.9366,1.6848,0.9488,7.7
46,-0.3535,0.9525,-2.3,1.5,1.1061,0.8685,0.05,3.25
47,-1.3164,1.0207,-3.3,0.7,1.4665,1.1072,0.1,4.15
48,-1.0607,0.9235,-2.9,0.7,1.0412,0.8096,0.05,3.1
49,-0.479,1.1747,-2.8,1.8,2.3017,1.386,0.15,5.4
50,2.6555,1.4621,-0.2,5.6,3.6795,1.5936,0.85,7.35
