item,role,delta_hat_j,se_j,partial_pool_mean,partial_pool_sd,partial_pool_low,partial_pool_high
Conservatives,pool,-5.572202273222333,2.9456673919456664,-1.0520740173093175,2.030669773725599,-5.826175298924612,2.0544166972655495
Christians,target,-3.2968378918227694,3.0760217909627485,-0.4778703314556916,1.801831807939213,-4.661512844988388,2.5373624655054727
Democratic Party,party_sensitivity,-2.3507068010918353,3.065935854144193,-0.2323474165740411,1.7138464393825814,-4.070091712764072,2.8331695258440353
Republican Party,party_sensitivity,-0.9067189167695471,2.7359729540025968,0.02869347294711794,1.5873655903308783,-3.4730031207505387,3.0608344516025414
White Americans,pool,0.6545807033109896,2.801790478807794,0.4101073195633237,1.572786851909039,-2.745821768247642,3.6671049995168095
Liberals,pool,1.2769102473311902,2.763122649702953,0.5811566225328831,1.5806250270156212,-2.4424600578761533,3.9600587879184084
Asian Americans,pool,1.2989214034049064,2.5981754546624076,0.5777813957591544,1.5509046831076638,-2.4733956670086994,3.829049819016096
Gays and Lesbians,contrast,1.9134278864417085,3.4863728746163325,0.6437010108718267,1.769529232848387,-2.7937915362726162,4.538662919289629
Jews,pool,2.2488758247519924,2.7229013037854637,0.8394710462281992,1.6066059988624672,-2.169282130027549,4.389610836417179
Black Americans,pool,3.309322301548149,2.719983827820766,1.0916240768842769,1.6946444438915067,-1.7681979743243412,4.885742802227572
Muslims,pool,4.506070110532836,3.082843350242733,1.263113134131401,1.8393209966475474,-1.7663414813991265,5.577531009951797
