anchor_n_per_group,estimator,tau,mean_estimate,bias,rmse,mean_interval_width,empirical_coverage,wrong_sign_probability,mean_lambda,benchmark,n_reps
25,bayes_shrinkage_disjoint,2.0,-0.5376,3.1788,3.2405,7.5015,0.822,0.196,0.0953,-3.7164,500
25,bayes_shrinkage_disjoint,5.0,-1.7365,1.9799,3.2485,15.2708,0.986,0.246,0.3936,-3.7164,500
25,bayes_shrinkage_disjoint,10.0,-3.0536,0.6628,4.7554,20.7387,0.964,0.252,0.7188,-3.7164,500
25,bayes_shrinkage_disjoint,20.0,-3.8337,-0.1173,5.9882,23.3943,0.958,0.254,0.9102,-3.7164,500
25,human_only,,-4.1485,-0.4321,6.9476,26.2837,0.948,0.262,,-3.7164,500
25,llm_only,,-0.1554,3.5611,3.5611,0.8165,0.0,0.0,,-3.7164,500
25,naive_pooling,,-0.1875,3.5289,3.5293,0.8366,0.0,0.0,,-3.7164,500
25,ppi_disjoint,,-4.201,-0.4845,6.6131,24.5465,0.948,0.254,,-3.7164,500
25,ppi_plus,,-4.2289,-0.5124,6.634,24.4415,0.95,0.248,0.8698,-3.7164,500
50,bayes_shrinkage_disjoint,2.0,-0.7666,2.9498,3.0375,7.1841,0.816,0.126,0.1712,-3.7164,500
50,bayes_shrinkage_disjoint,5.0,-2.1593,1.5572,2.8304,12.9949,0.976,0.176,0.5614,-3.7164,500
50,bayes_shrinkage_disjoint,10.0,-3.1394,0.577,3.5663,15.8754,0.962,0.18,0.8358,-3.7164,500
50,bayes_shrinkage_disjoint,20.0,-3.5584,0.158,4.0198,16.9616,0.95,0.182,0.9531,-3.7164,500
50,human_only,,-3.6604,0.056,4.5665,18.6287,0.948,0.206,,-3.7164,500
50,llm_only,,-0.1554,3.5611,3.5611,0.8165,0.0,0.0,,-3.7164,500
50,naive_pooling,,-0.2117,3.5047,3.5054,0.8554,0.0,0.004,,-3.7164,500
50,ppi_disjoint,,-3.726,-0.0096,4.2164,17.3776,0.95,0.182,,-3.7164,500
50,ppi_plus,,-3.7181,-0.0017,4.2223,17.3451,0.948,0.186,0.9137,-3.7164,500
100,bayes_shrinkage_disjoint,2.0,-1.2143,2.5021,2.6648,6.6576,0.822,0.088,0.2899,-3.7164,500
100,bayes_shrinkage_disjoint,5.0,-2.7708,0.9456,2.4349,10.4425,0.966,0.124,0.7176,-3.7164,500
100,bayes_shrinkage_disjoint,10.0,-3.4688,0.2476,2.8473,11.7604,0.958,0.128,0.9102,-3.7164,500
100,bayes_shrinkage_disjoint,20.0,-3.7063,0.0101,3.0383,12.1774,0.958,0.132,0.9759,-3.7164,500
100,human_only,,-3.8788,-0.1624,3.3807,13.1992,0.958,0.12,,-3.7164,500
100,llm_only,,-0.1554,3.5611,3.5611,0.8165,0.0,0.0,,-3.7164,500
100,naive_pooling,,-0.2729,3.4435,3.4451,0.8904,0.0,0.004,,-3.7164,500
100,ppi_disjoint,,-3.7933,-0.0769,3.1132,12.3268,0.958,0.132,,-3.7164,500
100,ppi_plus,,-3.8098,-0.0933,3.122,12.3155,0.958,0.128,0.9383,-3.7164,500
200,bayes_shrinkage_disjoint,2.0,-1.7645,1.952,2.1782,5.8922,0.86,0.038,0.4466,-3.7164,500
200,bayes_shrinkage_disjoint,5.0,-3.163,0.5534,1.8742,8.02,0.966,0.048,0.8343,-3.7164,500
200,bayes_shrinkage_disjoint,10.0,-3.5899,0.1265,2.0448,8.5657,0.964,0.048,0.9527,-3.7164,500
200,bayes_shrinkage_disjoint,20.0,-3.7163,0.0001,2.1149,8.7208,0.962,0.048,0.9877,-3.7164,500
200,human_only,,-3.8238,-0.1074,2.2991,9.3647,0.948,0.06,,-3.7164,500
200,llm_only,,-0.1554,3.5611,3.5611,0.8165,0.0,0.0,,-3.7164,500
200,naive_pooling,,-0.3799,3.3365,3.3393,0.951,0.0,0.002,,-3.7164,500
200,ppi_disjoint,,-3.7605,-0.0441,2.1413,8.7744,0.962,0.048,,-3.7164,500
200,ppi_plus,,-3.7647,-0.0483,2.1493,8.7685,0.962,0.046,0.94,-3.7164,500
